atributos_id,player_api_id,overall_rating,potential,preferred_foot,crossing,finishing,dribbling,free_kick_accuracy,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,strength,aggression,interceptions,vision,penalties,marking,id_temporada
15,38151,69.0,69.0,right,47.0,48.0,59.0,60.0,66.0,53.0,53.0,60.0,70.0,65.0,79.0,73.0,73.0,70.0,73.0,65.0,58.0,66.0,8
16,38151,69.0,69.0,right,47.0,48.0,59.0,60.0,66.0,53.0,53.0,60.0,70.0,65.0,79.0,73.0,73.0,70.0,73.0,65.0,58.0,66.0,8
17,38151,73.0,73.0,right,47.0,47.0,59.0,61.0,65.0,54.0,61.0,59.0,73.0,65.0,74.0,72.0,75.0,77.0,72.0,72.0,58.0,76.0,5
18,150480,74.0,76.0,right,75.0,66.0,73.0,60.0,74.0,86.0,85.0,84.0,77.0,87.0,56.0,82.0,65.0,75.0,74.0,68.0,68.0,71.0,6
19,150480,72.0,77.0,right,72.0,66.0,73.0,60.0,74.0,82.0,83.0,81.0,77.0,66.0,56.0,73.0,65.0,75.0,55.0,73.0,68.0,64.0,5
20,150480,69.0,72.0,right,72.0,66.0,73.0,60.0,64.0,82.0,83.0,81.0,77.0,66.0,56.0,73.0,65.0,75.0,75.0,73.0,62.0,64.0,4
21,42312,75.0,75.0,right,59.0,46.0,56.0,62.0,63.0,74.0,72.0,64.0,75.0,63.0,82.0,82.0,79.0,74.0,81.0,55.0,60.0,77.0,8
22,42312,74.0,74.0,right,66.0,55.0,60.0,49.0,65.0,75.0,73.0,65.0,74.0,65.0,81.0,77.0,78.0,73.0,79.0,54.0,58.0,76.0,7
23,42312,70.0,70.0,right,75.0,56.0,58.0,50.0,68.0,75.0,73.0,61.0,71.0,65.0,70.0,70.0,75.0,69.0,72.0,50.0,56.0,68.0,6
24,42312,73.0,75.0,right,75.0,60.0,58.0,50.0,68.0,75.0,73.0,65.0,71.0,74.0,70.0,70.0,75.0,69.0,72.0,70.0,56.0,77.0,4
25,42312,73.0,74.0,right,75.0,60.0,58.0,50.0,78.0,77.0,70.0,65.0,66.0,74.0,70.0,70.0,76.0,69.0,79.0,70.0,65.0,77.0,4
26,42312,72.0,74.0,left,75.0,60.0,58.0,50.0,78.0,77.0,68.0,65.0,66.0,74.0,70.0,70.0,76.0,69.0,69.0,70.0,65.0,76.0,2
27,27671,76.0,76.0,right,77.0,58.0,74.0,79.0,80.0,69.0,65.0,77.0,78.0,78.0,71.0,52.0,59.0,75.0,70.0,81.0,73.0,52.0,9
28,27671,77.0,81.0,right,83.0,55.0,73.0,79.0,83.0,68.0,63.0,77.0,80.0,79.0,71.0,51.0,58.0,81.0,71.0,85.0,73.0,49.0,7
29,27671,75.0,84.0,right,73.0,54.0,71.0,76.0,81.0,69.0,67.0,74.0,72.0,80.0,72.0,50.0,54.0,65.0,60.0,82.0,70.0,52.0,6
30,27671,74.0,80.0,right,73.0,54.0,70.0,76.0,80.0,66.0,68.0,74.0,72.0,80.0,72.0,50.0,56.0,65.0,60.0,82.0,70.0,52.0,5
31,27671,74.0,84.0,right,73.0,65.0,71.0,76.0,77.0,72.0,70.0,68.0,72.0,66.0,72.0,60.0,68.0,65.0,65.0,73.0,70.0,54.0,5
32,173427,77.0,78.0,left,72.0,48.0,60.0,44.0,69.0,76.0,79.0,71.0,74.0,69.0,67.0,77.0,78.0,82.0,76.0,58.0,61.0,82.0,10
33,173427,76.0,80.0,left,72.0,48.0,60.0,44.0,69.0,71.0,75.0,72.0,74.0,69.0,67.0,72.0,78.0,82.0,76.0,58.0,61.0,83.0,9
34,173427,74.0,79.0,left,65.0,57.0,61.0,43.0,68.0,70.0,74.0,70.0,72.0,69.0,61.0,77.0,74.0,80.0,73.0,58.0,60.0,75.0,9
35,173427,73.0,76.0,left,71.0,36.0,65.0,42.0,67.0,71.0,73.0,65.0,73.0,68.0,68.0,75.0,73.0,79.0,72.0,57.0,49.0,71.0,8
36,173427,56.0,80.0,left,50.0,36.0,24.0,42.0,51.0,76.0,78.0,65.0,76.0,68.0,68.0,75.0,73.0,74.0,72.0,57.0,49.0,72.0,1
37,504606,66.0,81.0,left,51.0,36.0,46.0,28.0,52.0,67.0,68.0,69.0,54.0,61.0,62.0,77.0,68.0,70.0,62.0,33.0,34.0,65.0,9
38,504606,64.0,81.0,left,29.0,55.0,58.0,27.0,60.0,68.0,69.0,69.0,60.0,61.0,61.0,65.0,59.0,66.0,65.0,32.0,33.0,62.0,9
39,37468,67.0,67.0,left,58.0,51.0,70.0,70.0,69.0,81.0,80.0,73.0,65.0,77.0,70.0,72.0,58.0,64.0,66.0,63.0,82.0,70.0,9
40,37468,67.0,67.0,left,71.0,22.0,71.0,70.0,69.0,81.0,80.0,70.0,65.0,67.0,64.0,72.0,57.0,64.0,63.0,48.0,82.0,70.0,8
41,37468,67.0,67.0,left,66.0,22.0,71.0,70.0,69.0,81.0,81.0,70.0,73.0,67.0,52.0,72.0,57.0,64.0,63.0,48.0,76.0,73.0,7
42,37468,67.0,67.0,left,68.0,22.0,71.0,70.0,69.0,81.0,81.0,70.0,73.0,67.0,52.0,72.0,57.0,64.0,63.0,48.0,74.0,73.0,7
43,37468,67.0,67.0,left,68.0,22.0,71.0,70.0,69.0,81.0,81.0,70.0,73.0,67.0,52.0,72.0,57.0,64.0,63.0,48.0,74.0,73.0,7
44,37468,74.0,80.0,left,71.0,22.0,66.0,67.0,72.0,83.0,84.0,70.0,80.0,67.0,54.0,72.0,77.0,76.0,61.0,48.0,73.0,79.0,1
45,194660,78.0,79.0,left,71.0,78.0,80.0,77.0,81.0,76.0,78.0,74.0,79.0,76.0,79.0,63.0,71.0,69.0,38.0,76.0,77.0,24.0,9
46,194660,74.0,75.0,left,71.0,70.0,77.0,82.0,74.0,77.0,80.0,74.0,71.0,75.0,75.0,63.0,64.0,70.0,37.0,74.0,71.0,23.0,8
47,267380,75.0,83.0,right,73.0,73.0,82.0,73.0,83.0,76.0,74.0,75.0,68.0,63.0,74.0,44.0,66.0,39.0,31.0,76.0,76.0,25.0,9
48,267380,76.0,86.0,right,72.0,73.0,83.0,73.0,86.0,76.0,74.0,74.0,67.0,63.0,74.0,44.0,66.0,39.0,31.0,82.0,76.0,25.0,8
49,267380,73.0,85.0,left,70.0,66.0,81.0,57.0,80.0,78.0,75.0,81.0,70.0,62.0,46.0,50.0,49.0,33.0,31.0,75.0,63.0,16.0,7
50,267380,65.0,85.0,left,53.0,66.0,68.0,48.0,56.0,73.0,75.0,72.0,73.0,62.0,66.0,50.0,65.0,33.0,20.0,53.0,63.0,20.0,1
51,346004,73.0,83.0,right,60.0,45.0,70.0,50.0,73.0,67.0,66.0,66.0,65.0,69.0,76.0,73.0,73.0,76.0,73.0,68.0,51.0,75.0,8
52,346004,72.0,83.0,right,60.0,45.0,70.0,50.0,73.0,68.0,66.0,76.0,61.0,65.0,76.0,73.0,74.0,76.0,68.0,68.0,51.0,75.0,8
53,346004,68.0,83.0,right,60.0,45.0,67.0,50.0,70.0,68.0,66.0,76.0,58.0,65.0,76.0,73.0,74.0,76.0,67.0,65.0,51.0,63.0,7
54,346004,68.0,83.0,right,60.0,45.0,67.0,50.0,70.0,72.0,66.0,76.0,58.0,65.0,76.0,73.0,74.0,76.0,67.0,65.0,51.0,63.0,6
55,114672,73.0,73.0,left,69.0,65.0,77.0,69.0,77.0,81.0,82.0,85.0,69.0,86.0,74.0,60.0,58.0,56.0,43.0,73.0,59.0,29.0,10
56,114672,70.0,70.0,left,69.0,60.0,75.0,67.0,72.0,81.0,83.0,85.0,63.0,86.0,68.0,60.0,58.0,55.0,42.0,68.0,58.0,31.0,8
57,294003,78.0,85.0,right,68.0,82.0,81.0,71.0,80.0,80.0,80.0,81.0,69.0,79.0,80.0,79.0,52.0,65.0,34.0,70.0,70.0,42.0,9
58,294003,73.0,85.0,right,67.0,74.0,79.0,70.0,75.0,84.0,81.0,84.0,70.0,81.0,79.0,78.0,51.0,47.0,33.0,72.0,70.0,41.0,7
59,198566,73.0,82.0,right,76.0,68.0,75.0,69.0,78.0,68.0,66.0,67.0,66.0,54.0,59.0,48.0,61.0,29.0,28.0,71.0,56.0,24.0,9
60,198566,72.0,81.0,right,63.0,74.0,75.0,52.0,80.0,69.0,67.0,69.0,70.0,55.0,64.0,48.0,61.0,28.0,27.0,73.0,55.0,23.0,8
61,34106,77.0,77.0,right,50.0,81.0,74.0,70.0,80.0,61.0,61.0,64.0,79.0,56.0,79.0,72.0,74.0,84.0,31.0,68.0,78.0,22.0,8
62,34106,79.0,79.0,right,50.0,80.0,74.0,70.0,81.0,61.0,69.0,64.0,80.0,56.0,79.0,72.0,74.0,84.0,31.0,68.0,78.0,22.0,7
63,34106,85.0,87.0,right,60.0,91.0,86.0,75.0,88.0,82.0,85.0,82.0,88.0,77.0,86.0,80.0,76.0,52.0,67.0,81.0,83.0,22.0,3
64,34106,85.0,86.0,right,50.0,88.0,84.0,69.0,83.0,80.0,83.0,82.0,62.0,77.0,83.0,80.0,85.0,82.0,77.0,81.0,74.0,46.0,1
65,183365,74.0,77.0,right,66.0,68.0,80.0,69.0,81.0,82.0,79.0,76.0,67.0,78.0,70.0,67.0,61.0,46.0,60.0,74.0,66.0,44.0,10
66,183365,74.0,77.0,right,66.0,68.0,80.0,69.0,81.0,82.0,79.0,76.0,67.0,78.0,70.0,67.0,61.0,46.0,60.0,74.0,66.0,44.0,9
67,183365,73.0,76.0,right,64.0,74.0,77.0,67.0,76.0,84.0,84.0,78.0,70.0,79.0,71.0,66.0,65.0,44.0,58.0,68.0,64.0,42.0,9
68,183365,73.0,76.0,right,64.0,74.0,77.0,67.0,76.0,84.0,84.0,78.0,70.0,79.0,71.0,66.0,65.0,44.0,58.0,68.0,64.0,42.0,9
69,183365,73.0,76.0,right,64.0,74.0,77.0,67.0,76.0,84.0,84.0,78.0,70.0,79.0,71.0,66.0,65.0,44.0,58.0,68.0,64.0,42.0,9
70,24852,73.0,73.0,right,71.0,73.0,79.0,85.0,82.0,71.0,74.0,76.0,71.0,72.0,81.0,68.0,70.0,67.0,22.0,60.0,79.0,26.0,6
71,30832,71.0,71.0,left,66.0,68.0,71.0,72.0,74.0,68.0,62.0,73.0,67.0,71.0,71.0,71.0,69.0,65.0,31.0,78.0,80.0,26.0,10
72,30832,80.0,83.0,left,82.0,86.0,80.0,68.0,81.0,81.0,82.0,72.0,75.0,70.0,80.0,67.0,59.0,64.0,70.0,65.0,79.0,25.0,1
73,30832,85.0,86.0,left,79.0,89.0,87.0,83.0,89.0,78.0,86.0,72.0,76.0,70.0,84.0,67.0,45.0,64.0,70.0,65.0,83.0,45.0,1
74,384374,66.0,71.0,right,76.0,36.0,51.0,41.0,70.0,74.0,76.0,63.0,60.0,61.0,73.0,73.0,72.0,74.0,66.0,54.0,38.0,63.0,8
75,384374,66.0,71.0,right,76.0,36.0,51.0,41.0,67.0,74.0,76.0,63.0,63.0,61.0,73.0,73.0,72.0,74.0,66.0,54.0,38.0,63.0,7
76,384374,66.0,71.0,right,76.0,36.0,51.0,41.0,67.0,74.0,76.0,63.0,63.0,61.0,73.0,73.0,72.0,74.0,66.0,54.0,38.0,63.0,7
77,293074,71.0,78.0,left,75.0,51.0,69.0,76.0,74.0,73.0,76.0,67.0,66.0,76.0,84.0,64.0,58.0,74.0,68.0,59.0,46.0,67.0,10
78,293074,69.0,78.0,left,74.0,54.0,68.0,76.0,71.0,74.0,78.0,67.0,67.0,76.0,84.0,64.0,56.0,73.0,70.0,54.0,45.0,67.0,8
79,293074,69.0,78.0,left,74.0,54.0,68.0,76.0,71.0,74.0,79.0,67.0,67.0,76.0,84.0,64.0,56.0,73.0,70.0,54.0,45.0,67.0,8
80,293074,67.0,73.0,left,72.0,54.0,68.0,73.0,68.0,73.0,70.0,67.0,67.0,76.0,84.0,64.0,52.0,64.0,66.0,54.0,45.0,64.0,8
81,293074,65.0,75.0,left,70.0,61.0,65.0,71.0,67.0,75.0,70.0,67.0,60.0,76.0,74.0,64.0,52.0,60.0,63.0,53.0,45.0,62.0,6
82,97334,62.0,68.0,right,62.0,70.0,64.0,52.0,68.0,73.0,73.0,77.0,59.0,65.0,57.0,61.0,49.0,48.0,53.0,71.0,53.0,39.0,2
83,33636,74.0,74.0,right,49.0,31.0,57.0,43.0,60.0,82.0,82.0,60.0,68.0,63.0,59.0,88.0,80.0,82.0,75.0,58.0,56.0,76.0,8
84,33636,74.0,74.0,right,49.0,31.0,57.0,43.0,63.0,82.0,83.0,64.0,68.0,60.0,59.0,88.0,80.0,82.0,74.0,58.0,56.0,74.0,7
85,33636,77.0,84.0,right,56.0,31.0,46.0,43.0,67.0,77.0,81.0,59.0,83.0,76.0,52.0,86.0,87.0,83.0,66.0,58.0,79.0,72.0,3
86,33022,65.0,76.0,right,42.0,31.0,49.0,48.0,48.0,53.0,56.0,49.0,55.0,63.0,73.0,61.0,80.0,71.0,67.0,55.0,47.0,65.0,5
87,40636,89.0,91.0,right,77.0,91.0,90.0,84.0,89.0,88.0,79.0,86.0,91.0,60.0,84.0,69.0,76.0,78.0,41.0,84.0,85.0,30.0,9
88,40636,88.0,89.0,right,77.0,87.0,91.0,84.0,88.0,87.0,78.0,86.0,88.0,85.0,83.0,69.0,76.0,78.0,41.0,84.0,85.0,30.0,8
89,40636,88.0,88.0,right,77.0,87.0,91.0,84.0,88.0,87.0,78.0,86.0,88.0,85.0,83.0,69.0,76.0,78.0,41.0,82.0,85.0,30.0,8
90,40636,83.0,88.0,right,78.0,86.0,86.0,81.0,84.0,84.0,79.0,79.0,88.0,84.0,82.0,71.0,74.0,74.0,72.0,84.0,84.0,29.0,4
91,115519,69.0,69.0,left,79.0,50.0,71.0,48.0,74.0,76.0,75.0,73.0,62.0,81.0,58.0,52.0,56.0,73.0,69.0,55.0,50.0,66.0,8
92,115519,70.0,76.0,left,77.0,50.0,70.0,48.0,71.0,76.0,74.0,73.0,71.0,75.0,58.0,52.0,58.0,70.0,70.0,63.0,52.0,70.0,7
93,115519,73.0,77.0,left,78.0,50.0,71.0,48.0,70.0,76.0,74.0,73.0,75.0,75.0,58.0,52.0,58.0,80.0,74.0,63.0,52.0,72.0,6
94,115519,66.0,66.0,left,62.0,50.0,67.0,48.0,67.0,73.0,71.0,70.0,65.0,75.0,55.0,52.0,50.0,55.0,53.0,63.0,52.0,49.0,6
95,31097,87.0,87.0,right,78.0,71.0,86.0,77.0,92.0,78.0,74.0,93.0,88.0,94.0,73.0,67.0,61.0,62.0,73.0,89.0,80.0,69.0,9
96,31097,82.0,88.0,right,78.0,79.0,86.0,85.0,88.0,79.0,82.0,90.0,83.0,75.0,72.0,66.0,60.0,59.0,80.0,91.0,85.0,58.0,4
97,31097,82.0,90.0,right,75.0,79.0,86.0,85.0,90.0,79.0,82.0,90.0,79.0,75.0,86.0,66.0,58.0,59.0,76.0,91.0,85.0,59.0,2
98,213714,66.0,66.0,right,57.0,48.0,53.0,47.0,61.0,70.0,76.0,68.0,60.0,63.0,72.0,73.0,73.0,76.0,69.0,61.0,63.0,56.0,8
99,213714,61.0,63.0,right,55.0,33.0,43.0,47.0,58.0,73.0,78.0,68.0,60.0,63.0,68.0,73.0,70.0,69.0,61.0,49.0,48.0,54.0,6
100,213714,60.0,63.0,right,55.0,30.0,43.0,47.0,58.0,73.0,78.0,68.0,60.0,63.0,68.0,73.0,70.0,69.0,60.0,49.0,48.0,54.0,5
101,37259,75.0,75.0,right,55.0,34.0,60.0,46.0,73.0,51.0,62.0,57.0,74.0,57.0,47.0,68.0,78.0,83.0,77.0,67.0,56.0,75.0,7
102,629579,66.0,75.0,right,58.0,67.0,69.0,42.0,63.0,67.0,76.0,65.0,60.0,54.0,73.0,64.0,73.0,49.0,36.0,56.0,57.0,27.0,9
103,629579,61.0,70.0,right,36.0,61.0,57.0,31.0,55.0,68.0,65.0,59.0,58.0,55.0,61.0,62.0,66.0,58.0,25.0,45.0,56.0,26.0,9
104,37622,68.0,68.0,left,76.0,45.0,64.0,74.0,69.0,74.0,74.0,78.0,75.0,69.0,73.0,74.0,67.0,77.0,71.0,53.0,58.0,58.0,8
105,37622,68.0,68.0,left,76.0,45.0,64.0,74.0,69.0,74.0,74.0,78.0,75.0,69.0,73.0,74.0,67.0,77.0,71.0,53.0,58.0,58.0,8
106,37622,72.0,72.0,left,77.0,45.0,63.0,74.0,73.0,81.0,79.0,77.0,76.0,69.0,73.0,74.0,63.0,78.0,72.0,58.0,58.0,69.0,6
107,37622,76.0,79.0,left,76.0,55.0,74.0,79.0,75.0,84.0,83.0,80.0,77.0,76.0,73.0,74.0,71.0,82.0,70.0,62.0,58.0,75.0,4
108,38492,79.0,84.0,right,73.0,67.0,78.0,72.0,83.0,69.0,68.0,61.0,78.0,75.0,82.0,62.0,73.0,73.0,82.0,82.0,77.0,61.0,3
109,37488,68.0,68.0,right,67.0,31.0,56.0,53.0,62.0,74.0,76.0,79.0,75.0,74.0,65.0,79.0,76.0,74.0,65.0,55.0,45.0,73.0,5
110,114762,67.0,67.0,right,8.0,10.0,12.0,12.0,18.0,54.0,59.0,57.0,59.0,58.0,23.0,68.0,65.0,40.0,23.0,29.0,24.0,9.0,6
111,114762,72.0,75.0,right,8.0,10.0,12.0,12.0,18.0,54.0,59.0,57.0,59.0,36.0,45.0,68.0,65.0,40.0,23.0,29.0,24.0,9.0,5
112,114762,64.0,68.0,right,33.0,21.0,26.0,28.0,18.0,44.0,42.0,57.0,59.0,36.0,57.0,70.0,67.0,40.0,63.0,29.0,47.0,22.0,4
113,114762,64.0,68.0,right,33.0,21.0,26.0,28.0,18.0,54.0,42.0,57.0,43.0,36.0,57.0,70.0,67.0,40.0,63.0,29.0,47.0,22.0,1
114,37474,72.0,72.0,right,66.0,69.0,74.0,61.0,77.0,81.0,77.0,76.0,72.0,55.0,81.0,72.0,70.0,28.0,28.0,66.0,68.0,12.0,10
115,37474,73.0,73.0,right,66.0,69.0,74.0,61.0,77.0,81.0,77.0,76.0,72.0,55.0,81.0,71.0,70.0,28.0,28.0,66.0,68.0,12.0,9
116,37474,76.0,83.0,right,62.0,80.0,76.0,67.0,73.0,78.0,83.0,73.0,76.0,62.0,70.0,65.0,73.0,27.0,76.0,77.0,68.0,24.0,3
117,37474,71.0,81.0,right,29.0,72.0,72.0,70.0,68.0,74.0,82.0,73.0,75.0,62.0,65.0,65.0,78.0,26.0,70.0,77.0,70.0,10.0,1
118,96651,67.0,75.0,right,23.0,23.0,23.0,13.0,23.0,55.0,47.0,46.0,46.0,48.0,23.0,56.0,23.0,25.0,57.0,59.0,52.0,23.0,1
119,96651,67.0,75.0,right,23.0,23.0,23.0,13.0,23.0,55.0,47.0,46.0,46.0,48.0,23.0,56.0,23.0,25.0,57.0,59.0,52.0,23.0,1
120,101983,74.0,74.0,left,24.0,25.0,25.0,25.0,34.0,41.0,49.0,55.0,66.0,60.0,30.0,72.0,60.0,36.0,25.0,25.0,25.0,25.0,9
121,101983,74.0,74.0,left,14.0,12.0,12.0,13.0,34.0,41.0,49.0,55.0,65.0,60.0,30.0,78.0,60.0,47.0,25.0,38.0,17.0,10.0,7
122,280920,72.0,72.0,left,77.0,75.0,73.0,79.0,74.0,66.0,68.0,67.0,67.0,69.0,69.0,53.0,58.0,70.0,27.0,71.0,80.0,32.0,9
123,280920,72.0,72.0,left,77.0,75.0,73.0,79.0,74.0,66.0,68.0,67.0,67.0,69.0,69.0,53.0,58.0,70.0,27.0,71.0,80.0,32.0,9
124,280920,72.0,72.0,left,77.0,75.0,73.0,79.0,74.0,66.0,68.0,67.0,67.0,69.0,69.0,53.0,58.0,70.0,27.0,71.0,80.0,32.0,9
125,280920,69.0,69.0,left,75.0,59.0,73.0,73.0,74.0,70.0,72.0,68.0,67.0,70.0,69.0,53.0,58.0,70.0,27.0,65.0,72.0,32.0,7
126,280920,68.0,70.0,left,75.0,59.0,73.0,73.0,74.0,70.0,72.0,68.0,67.0,70.0,69.0,53.0,58.0,70.0,27.0,65.0,72.0,32.0,6
127,163236,62.0,68.0,left,60.0,48.0,55.0,45.0,57.0,70.0,75.0,67.0,63.0,55.0,32.0,59.0,70.0,63.0,60.0,53.0,42.0,57.0,7
128,111975,72.0,80.0,left,49.0,75.0,66.0,53.0,65.0,72.0,78.0,73.0,68.0,75.0,72.0,80.0,81.0,77.0,46.0,50.0,65.0,21.0,1
129,102614,66.0,66.0,right,52.0,34.0,44.0,55.0,56.0,59.0,61.0,56.0,49.0,48.0,54.0,59.0,80.0,71.0,69.0,44.0,58.0,67.0,9
130,102614,65.0,65.0,right,51.0,33.0,43.0,54.0,58.0,54.0,57.0,51.0,48.0,48.0,53.0,61.0,79.0,70.0,68.0,43.0,57.0,64.0,8
131,102614,64.0,64.0,right,51.0,33.0,43.0,54.0,58.0,55.0,60.0,51.0,48.0,48.0,53.0,61.0,77.0,70.0,68.0,43.0,57.0,64.0,8
132,102614,64.0,66.0,right,51.0,33.0,43.0,54.0,58.0,55.0,60.0,51.0,48.0,48.0,53.0,61.0,77.0,70.0,68.0,43.0,57.0,64.0,7
133,38701,79.0,79.0,right,79.0,71.0,82.0,70.0,83.0,83.0,81.0,82.0,72.0,76.0,83.0,69.0,69.0,68.0,68.0,79.0,72.0,67.0,10
134,38701,80.0,87.0,right,71.0,62.0,85.0,66.0,81.0,79.0,76.0,82.0,64.0,76.0,82.0,75.0,76.0,76.0,76.0,83.0,84.0,77.0,2
135,49866,76.0,76.0,left,66.0,25.0,63.0,45.0,72.0,74.0,69.0,75.0,74.0,70.0,73.0,66.0,67.0,82.0,84.0,73.0,31.0,60.0,8
136,49866,76.0,77.0,left,66.0,25.0,63.0,45.0,72.0,74.0,69.0,75.0,74.0,70.0,73.0,66.0,67.0,82.0,84.0,73.0,31.0,62.0,7
137,49866,66.0,69.0,left,69.0,26.0,66.0,46.0,66.0,63.0,66.0,71.0,67.0,79.0,37.0,66.0,67.0,75.0,61.0,47.0,32.0,71.0,1
138,37970,63.0,63.0,right,36.0,40.0,37.0,41.0,50.0,30.0,34.0,29.0,49.0,49.0,57.0,29.0,84.0,88.0,64.0,49.0,56.0,70.0,9
139,37970,64.0,64.0,right,36.0,40.0,42.0,41.0,54.0,30.0,34.0,29.0,51.0,49.0,57.0,29.0,89.0,71.0,65.0,61.0,56.0,67.0,5
140,37970,69.0,72.0,right,57.0,41.0,52.0,42.0,61.0,66.0,60.0,50.0,58.0,64.0,48.0,61.0,86.0,87.0,74.0,62.0,71.0,71.0,4
141,37970,67.0,69.0,right,56.0,40.0,51.0,41.0,67.0,65.0,59.0,50.0,77.0,64.0,47.0,61.0,76.0,65.0,73.0,62.0,70.0,61.0,2
142,150735,66.0,72.0,right,58.0,51.0,50.0,47.0,73.0,70.0,72.0,69.0,63.0,64.0,55.0,62.0,67.0,54.0,71.0,60.0,58.0,69.0,1
143,213912,66.0,69.0,right,41.0,35.0,56.0,52.0,58.0,50.0,54.0,57.0,63.0,56.0,44.0,68.0,73.0,71.0,67.0,58.0,49.0,61.0,6
144,213912,64.0,68.0,right,41.0,35.0,51.0,52.0,57.0,57.0,61.0,56.0,57.0,64.0,44.0,68.0,72.0,70.0,61.0,60.0,52.0,62.0,5
145,295200,63.0,68.0,right,48.0,64.0,53.0,54.0,60.0,73.0,78.0,61.0,58.0,59.0,76.0,76.0,74.0,62.0,28.0,65.0,51.0,22.0,7
146,295200,63.0,64.0,right,48.0,64.0,53.0,54.0,60.0,73.0,78.0,61.0,58.0,59.0,76.0,76.0,74.0,62.0,28.0,65.0,51.0,22.0,6
147,295200,58.0,64.0,right,48.0,61.0,52.0,54.0,49.0,73.0,77.0,60.0,57.0,59.0,70.0,76.0,74.0,59.0,28.0,65.0,51.0,22.0,6
148,33756,68.0,68.0,right,77.0,44.0,45.0,47.0,68.0,55.0,53.0,50.0,76.0,66.0,55.0,34.0,75.0,71.0,79.0,49.0,50.0,68.0,9
149,33756,70.0,70.0,right,83.0,44.0,45.0,47.0,73.0,55.0,65.0,50.0,68.0,66.0,55.0,39.0,75.0,73.0,81.0,59.0,50.0,71.0,7
150,33756,78.0,81.0,right,80.0,31.0,53.0,48.0,75.0,76.0,80.0,68.0,69.0,76.0,54.0,53.0,73.0,74.0,73.0,67.0,75.0,83.0,1
151,33756,77.0,80.0,right,79.0,30.0,70.0,72.0,74.0,75.0,79.0,68.0,70.0,76.0,53.0,53.0,72.0,72.0,73.0,67.0,72.0,80.0,1
152,268282,79.0,84.0,right,69.0,66.0,76.0,72.0,80.0,75.0,72.0,79.0,80.0,73.0,81.0,83.0,64.0,68.0,69.0,80.0,65.0,53.0,10
153,268282,79.0,85.0,right,72.0,60.0,76.0,72.0,82.0,73.0,68.0,79.0,77.0,70.0,81.0,79.0,64.0,68.0,66.0,80.0,60.0,53.0,9
154,268282,70.0,75.0,right,58.0,55.0,76.0,68.0,78.0,76.0,69.0,75.0,65.0,72.0,58.0,79.0,56.0,51.0,69.0,62.0,54.0,38.0,8
155,268282,70.0,75.0,right,67.0,62.0,77.0,74.0,74.0,76.0,71.0,75.0,67.0,72.0,58.0,59.0,56.0,41.0,25.0,66.0,54.0,38.0,7
